Name,Address,Link,Latitudes,Longitudes
Sisters Uptown Bookstore,"1942 Amsterdam Ave., New York, NY 10032",http://www.sistersuptownbookstore.com/,32.71579,-117.14546
Strand Bookstore,"828 Broadway, New York, NY 10003",http://www.strandbooks.com/,40.832324,-73.942434
Strand Bookstore,"450 Columbus Ave, New York, NY 10024",http://www.strandbooks.com/,39.729674,-104.987408
Sweet Pickle Books,"47 Orchard St., New York, NY 10002",https://www.sweetpicklebooks.com/,41.475077,-97.601421
Swiss Institute,"38 St Marks Pl., New York, NY 10003",https://www.swissinstitute.net/visit/,41.302791,-72.941859
Three Lives and Co.,"238 W 10th St., New York, NY 10014",http://www.threelives.com/,40.79055,-73.644929
Word Up Community Bookshop,"2113 Amsterdam Ave., New York, NY 10032",https://wordupbooks.wordpress.com/,42.796914,-74.61659
Astoria Bookshop,"31-29 31st St., Astoria, NY 11106",https://www.astoriabookshop.com/,42.290245,-83.508013
Book Culture,"26-09 Jackson Ave, Long Island City, NY 11101",http://www.bookculture.com/,42.646036,-85.849968
Kew & Willow Books,"81-63 Lefferts Blvd, Kew Gardens	NY, 11415",https://www.kewandwillow.com/,34.059938,-118.103741
Topos Bookstore Cafe,"788 Woodward Ave., Ridgewood, NY 11385",https://www.toposbookstore.com/,40.731387,-111.89375
Turn the Page Again!,"39-15 Bell Blvd, Bayside, NY 11361",http://www.turnthepageagain.com/,40.148896,-74.918958
Everything Goes Book Cafe,"208 Bay St., Staten Island, NY 10301",http://www.etgstores.com/bookcafe/,40.764792,-73.771613
The Lit Bar,"131 Alexander Ave., The Bronx, New York 10454",http://www.thelitbar.com/,30.245719,-92.029642
